text,label
"The Earth is flat and scientists are lying to us.",1
"Regular exercise helps improve cardiovascular health according to medical studies.",0
"5G networks are spreading COVID-19 through radio waves.",1
"Drinking water helps maintain proper hydration and bodily functions.",0
"Vaccines contain microchips for tracking people.",1
"A balanced diet includes fruits, vegetables, and whole grains.",0
"The moon landing was faked in a Hollywood studio.",1
"Regular sleep patterns contribute to better mental health.",0
"Climate change is a hoax created by scientists.",1
"Washing hands helps prevent the spread of germs and bacteria.",0