claim,rating,source,date,evidence,category,url,cleaned_claim,label,text_length,word_count,caps_ratio,exclamation_count
The Earth is flat,FALSE,Scientific American,2024-10-15,Multiple sources confirm this claim.,Science,https://example.com/fact-check/2672,the earth is flat,0,17,4,0.11764705882352941,0
The Great Wall of China is visible from space,FALSE,WHO,2024-12-01,Multiple sources confirm this claim.,Environment,https://example.com/fact-check/4715,the great wall of china is visible from space,0,45,9,0.08888888888888889,0
The Earth orbits around the Sun,TRUE,Scientific American,2024-12-20,Multiple sources dispute this claim.,Technology,https://example.com/fact-check/4615,the earth orbits around the sun,1,31,6,0.0967741935483871,0
New technology could revolutionize transportation,UNCLEAR,Science Daily,2025-07-17,Multiple sources dispute this claim.,Politics,https://example.com/fact-check/4982,new technology could revolutionize transportation,2,49,5,0.02040816326530612,0
Certain diets may help with weight loss,UNCLEAR,FactCheck.org,2025-09-18,Multiple sources discuss this claim.,Environment,https://example.com/fact-check/9418,certain diets may help with weight loss,2,39,7,0.02564102564102564,0
Mount Everest is the highest peak on Earth,TRUE,Scientific American,2025-08-16,Multiple sources discuss this claim.,Science,https://example.com/fact-check/3194,mount everest is the highest peak on earth,1,42,8,0.07142857142857142,0
Plants produce oxygen through photosynthesis,TRUE,Reuters,2025-08-26,Multiple sources dispute this claim.,Environment,https://example.com/fact-check/4155,plants produce oxygen through photosynthesis,1,44,5,0.022727272727272728,0
Water boils at 100 degrees Celsius at sea level,TRUE,CDC,2024-12-09,Multiple sources discuss this claim.,Science,https://example.com/fact-check/8883,water boils at 100 degrees celsius at sea level,1,47,9,0.0425531914893617,0
Some studies suggest meditation can reduce stress,UNCLEAR,FactCheck.org,2025-04-03,Multiple sources discuss this claim.,Science,https://example.com/fact-check/8253,some studies suggest meditation can reduce stress,2,49,7,0.02040816326530612,0
Humans need oxygen to breathe,TRUE,AP News,2025-02-15,Multiple sources discuss this claim.,Technology,https://example.com/fact-check/1810,humans need oxygen to breathe,1,29,5,0.034482758620689655,0
Humans need oxygen to breathe,TRUE,Science Daily,2025-03-02,Multiple sources confirm this claim.,Politics,https://example.com/fact-check/9694,humans need oxygen to breathe,1,29,5,0.034482758620689655,0
The Earth is flat,FALSE,WHO,2025-05-09,Multiple sources discuss this claim.,Science,https://example.com/fact-check/3517,the earth is flat,0,17,4,0.11764705882352941,0
The Moon landing was faked,FALSE,Nature,2024-11-09,Multiple sources dispute this claim.,Technology,https://example.com/fact-check/5947,the moon landing was faked,0,26,5,0.07692307692307693,0
Coffee might help prevent certain diseases,UNCLEAR,Reuters,2025-08-24,Multiple sources confirm this claim.,Health,https://example.com/fact-check/2037,coffee might help prevent certain diseases,2,42,6,0.023809523809523808,0
The Great Wall of China is visible from space,FALSE,Science Daily,2025-05-22,Multiple sources confirm this claim.,Technology,https://example.com/fact-check/5524,the great wall of china is visible from space,0,45,9,0.08888888888888889,0
Light travels faster than sound,TRUE,AP News,2025-03-11,Multiple sources discuss this claim.,Science,https://example.com/fact-check/4918,light travels faster than sound,1,31,5,0.03225806451612903,0
COVID-19 is no worse than the common cold,FALSE,Science Daily,2024-09-25,Multiple sources confirm this claim.,Science,https://example.com/fact-check/2426,covid 19 is no worse than the common cold,0,41,8,0.12195121951219512,0
The Moon landing was faked,FALSE,WHO,2024-10-29,Multiple sources confirm this claim.,Health,https://example.com/fact-check/7955,the moon landing was faked,0,26,5,0.07692307692307693,0
Diamonds are made of carbon,TRUE,Reuters,2025-05-21,Multiple sources confirm this claim.,Politics,https://example.com/fact-check/4306,diamonds are made of carbon,1,27,5,0.037037037037037035,0
Vaccines cause autism,FALSE,CDC,2025-06-01,Multiple sources dispute this claim.,Health,https://example.com/fact-check/9208,vaccines cause autism,0,21,3,0.047619047619047616,0
Alternative energy sources might become dominant,UNCLEAR,Nature,2024-12-28,Multiple sources confirm this claim.,Politics,https://example.com/fact-check/9597,alternative energy sources might become dominant,2,48,6,0.020833333333333332,0
Social media may affect mental health,UNCLEAR,Science Daily,2025-07-26,Multiple sources confirm this claim.,Politics,https://example.com/fact-check/2847,social media may affect mental health,2,37,6,0.02702702702702703,0
Light travels faster than sound,TRUE,Science Daily,2025-03-01,Multiple sources confirm this claim.,Politics,https://example.com/fact-check/2371,light travels faster than sound,1,31,5,0.03225806451612903,0
Some experts predict market volatility,UNCLEAR,Reuters,2025-07-22,Multiple sources discuss this claim.,Politics,https://example.com/fact-check/8012,some experts predict market volatility,2,38,5,0.02631578947368421,0
The Earth orbits around the Sun,TRUE,Reuters,2025-05-31,Multiple sources confirm this claim.,Technology,https://example.com/fact-check/1360,the earth orbits around the sun,1,31,6,0.0967741935483871,0
Humans only use 10% of their brains,FALSE,Nature,2024-11-20,Multiple sources confirm this claim.,Technology,https://example.com/fact-check/1256,humans only use 10 of their brains,0,35,7,0.02857142857142857,0
Water boils at 100 degrees Celsius at sea level,TRUE,CDC,2025-05-02,Multiple sources discuss this claim.,Science,https://example.com/fact-check/2754,water boils at 100 degrees celsius at sea level,1,47,9,0.0425531914893617,0
The Great Wall of China is visible from space,FALSE,Scientific American,2025-04-25,Multiple sources confirm this claim.,Technology,https://example.com/fact-check/3468,the great wall of china is visible from space,0,45,9,0.08888888888888889,0
Humans need oxygen to breathe,TRUE,Scientific American,2025-05-26,Multiple sources confirm this claim.,Politics,https://example.com/fact-check/1912,humans need oxygen to breathe,1,29,5,0.034482758620689655,0
New technology could revolutionize transportation,UNCLEAR,CDC,2024-11-17,Multiple sources discuss this claim.,Environment,https://example.com/fact-check/4266,new technology could revolutionize transportation,2,49,5,0.02040816326530612,0
Remote work could increase productivity,UNCLEAR,WHO,2025-06-22,Multiple sources discuss this claim.,Environment,https://example.com/fact-check/1580,remote work could increase productivity,2,39,5,0.02564102564102564,0
5G networks spread viruses,FALSE,Reuters,2024-12-18,Multiple sources dispute this claim.,Health,https://example.com/fact-check/8355,5g networks spread viruses,0,26,4,0.038461538461538464,0
Certain diets may help with weight loss,UNCLEAR,Nature,2025-06-22,Multiple sources discuss this claim.,Politics,https://example.com/fact-check/5701,certain diets may help with weight loss,2,39,7,0.02564102564102564,0
Some studies suggest meditation can reduce stress,UNCLEAR,Reuters,2025-02-24,Multiple sources confirm this claim.,Health,https://example.com/fact-check/5644,some studies suggest meditation can reduce stress,2,49,7,0.02040816326530612,0
The human body has 206 bones,TRUE,AP News,2025-06-22,Multiple sources confirm this claim.,Technology,https://example.com/fact-check/7348,the human body has 206 bones,1,28,6,0.03571428571428571,0
Alternative energy sources might become dominant,UNCLEAR,FactCheck.org,2025-04-25,Multiple sources dispute this claim.,Technology,https://example.com/fact-check/5291,alternative energy sources might become dominant,2,48,6,0.020833333333333332,0
Artificial intelligence might replace some jobs,UNCLEAR,FactCheck.org,2025-01-17,Multiple sources dispute this claim.,Health,https://example.com/fact-check/4128,artificial intelligence might replace some jobs,2,47,6,0.02127659574468085,0
The Moon landing was faked,FALSE,AP News,2025-09-13,Multiple sources confirm this claim.,Health,https://example.com/fact-check/3231,the moon landing was faked,0,26,5,0.07692307692307693,0
Vaccines cause autism,FALSE,FactCheck.org,2025-01-12,Multiple sources dispute this claim.,Technology,https://example.com/fact-check/8770,vaccines cause autism,0,21,3,0.047619047619047616,0
Artificial intelligence might replace some jobs,UNCLEAR,Scientific American,2024-10-23,Multiple sources confirm this claim.,Technology,https://example.com/fact-check/9222,artificial intelligence might replace some jobs,2,47,6,0.02127659574468085,0
Some experts predict market volatility,UNCLEAR,Reuters,2025-09-01,Multiple sources dispute this claim.,Health,https://example.com/fact-check/2601,some experts predict market volatility,2,38,5,0.02631578947368421,0
Diamonds are made of carbon,TRUE,Reuters,2025-05-07,Multiple sources confirm this claim.,Politics,https://example.com/fact-check/4148,diamonds are made of carbon,1,27,5,0.037037037037037035,0
The Great Wall of China is visible from space,FALSE,Science Daily,2024-09-29,Multiple sources dispute this claim.,Technology,https://example.com/fact-check/2681,the great wall of china is visible from space,0,45,9,0.08888888888888889,0
The Earth is flat,FALSE,Reuters,2025-08-02,Multiple sources discuss this claim.,Environment,https://example.com/fact-check/5274,the earth is flat,0,17,4,0.11764705882352941,0
Humans only use 10% of their brains,FALSE,CDC,2025-06-08,Multiple sources confirm this claim.,Health,https://example.com/fact-check/8001,humans only use 10 of their brains,0,35,7,0.02857142857142857,0
Diamonds are made of carbon,TRUE,Scientific American,2024-10-06,Multiple sources discuss this claim.,Politics,https://example.com/fact-check/9450,diamonds are made of carbon,1,27,5,0.037037037037037035,0
The Earth is flat,FALSE,Nature,2025-04-15,Multiple sources confirm this claim.,Environment,https://example.com/fact-check/7928,the earth is flat,0,17,4,0.11764705882352941,0
Alternative energy sources might become dominant,UNCLEAR,Scientific American,2024-10-02,Multiple sources dispute this claim.,Politics,https://example.com/fact-check/9528,alternative energy sources might become dominant,2,48,6,0.020833333333333332,0
Some experts predict market volatility,UNCLEAR,WHO,2025-06-24,Multiple sources confirm this claim.,Technology,https://example.com/fact-check/1255,some experts predict market volatility,2,38,5,0.02631578947368421,0
All GMO foods are dangerous,FALSE,FactCheck.org,2025-03-09,Multiple sources dispute this claim.,Environment,https://example.com/fact-check/7910,all gmo foods are dangerous,0,27,5,0.14814814814814814,0
Light travels faster than sound,TRUE,Reuters,2024-10-26,Multiple sources confirm this claim.,Environment,https://example.com/fact-check/9663,light travels faster than sound,1,31,5,0.03225806451612903,0
New technology could revolutionize transportation,UNCLEAR,Science Daily,2025-03-24,Multiple sources confirm this claim.,Politics,https://example.com/fact-check/9741,new technology could revolutionize transportation,2,49,5,0.02040816326530612,0
5G networks spread viruses,FALSE,CDC,2025-07-01,Multiple sources confirm this claim.,Technology,https://example.com/fact-check/3961,5g networks spread viruses,0,26,4,0.038461538461538464,0
COVID-19 is no worse than the common cold,FALSE,Nature,2025-04-12,Multiple sources confirm this claim.,Politics,https://example.com/fact-check/4767,covid 19 is no worse than the common cold,0,41,8,0.12195121951219512,0
Humans need oxygen to breathe,TRUE,Scientific American,2025-03-16,Multiple sources discuss this claim.,Environment,https://example.com/fact-check/5423,humans need oxygen to breathe,1,29,5,0.034482758620689655,0
The Moon landing was faked,FALSE,Scientific American,2025-03-13,Multiple sources discuss this claim.,Politics,https://example.com/fact-check/4158,the moon landing was faked,0,26,5,0.07692307692307693,0
New technology could revolutionize transportation,UNCLEAR,CDC,2024-11-21,Multiple sources dispute this claim.,Environment,https://example.com/fact-check/6235,new technology could revolutionize transportation,2,49,5,0.02040816326530612,0
Light travels faster than sound,TRUE,FactCheck.org,2025-08-12,Multiple sources discuss this claim.,Politics,https://example.com/fact-check/7124,light travels faster than sound,1,31,5,0.03225806451612903,0
Coffee might help prevent certain diseases,UNCLEAR,Nature,2025-04-01,Multiple sources dispute this claim.,Technology,https://example.com/fact-check/6028,coffee might help prevent certain diseases,2,42,6,0.023809523809523808,0
Mount Everest is the highest peak on Earth,TRUE,Science Daily,2025-07-17,Multiple sources dispute this claim.,Science,https://example.com/fact-check/7677,mount everest is the highest peak on earth,1,42,8,0.07142857142857142,0
Climate change is a hoax,FALSE,Reuters,2025-08-18,Multiple sources dispute this claim.,Health,https://example.com/fact-check/3339,climate change is a hoax,0,24,5,0.041666666666666664,0
Coffee might help prevent certain diseases,UNCLEAR,FactCheck.org,2025-06-26,Multiple sources confirm this claim.,Environment,https://example.com/fact-check/9899,coffee might help prevent certain diseases,2,42,6,0.023809523809523808,0
Light travels faster than sound,TRUE,Reuters,2025-08-16,Multiple sources dispute this claim.,Technology,https://example.com/fact-check/7146,light travels faster than sound,1,31,5,0.03225806451612903,0
Plants produce oxygen through photosynthesis,TRUE,AP News,2025-04-06,Multiple sources confirm this claim.,Technology,https://example.com/fact-check/1846,plants produce oxygen through photosynthesis,1,44,5,0.022727272727272728,0
Diamonds are made of carbon,TRUE,Nature,2025-07-23,Multiple sources dispute this claim.,Science,https://example.com/fact-check/4544,diamonds are made of carbon,1,27,5,0.037037037037037035,0
The Earth is flat,FALSE,FactCheck.org,2024-11-09,Multiple sources discuss this claim.,Health,https://example.com/fact-check/7296,the earth is flat,0,17,4,0.11764705882352941,0
Vaccines cause autism,FALSE,CDC,2025-06-16,Multiple sources discuss this claim.,Environment,https://example.com/fact-check/7620,vaccines cause autism,0,21,3,0.047619047619047616,0
Certain diets may help with weight loss,UNCLEAR,AP News,2025-03-29,Multiple sources discuss this claim.,Science,https://example.com/fact-check/3516,certain diets may help with weight loss,2,39,7,0.02564102564102564,0
Plants produce oxygen through photosynthesis,TRUE,FactCheck.org,2024-11-18,Multiple sources discuss this claim.,Environment,https://example.com/fact-check/2515,plants produce oxygen through photosynthesis,1,44,5,0.022727272727272728,0
All GMO foods are dangerous,FALSE,Reuters,2025-03-13,Multiple sources confirm this claim.,Environment,https://example.com/fact-check/8089,all gmo foods are dangerous,0,27,5,0.14814814814814814,0
Humans only use 10% of their brains,FALSE,CDC,2025-08-02,Multiple sources confirm this claim.,Science,https://example.com/fact-check/6550,humans only use 10 of their brains,0,35,7,0.02857142857142857,0
Some experts predict market volatility,UNCLEAR,Reuters,2024-12-16,Multiple sources dispute this claim.,Science,https://example.com/fact-check/5324,some experts predict market volatility,2,38,5,0.02631578947368421,0
Certain diets may help with weight loss,UNCLEAR,WHO,2024-09-27,Multiple sources discuss this claim.,Science,https://example.com/fact-check/8439,certain diets may help with weight loss,2,39,7,0.02564102564102564,0
Certain diets may help with weight loss,UNCLEAR,Reuters,2024-12-18,Multiple sources dispute this claim.,Health,https://example.com/fact-check/8370,certain diets may help with weight loss,2,39,7,0.02564102564102564,0
Water boils at 100 degrees Celsius at sea level,TRUE,AP News,2025-04-24,Multiple sources confirm this claim.,Politics,https://example.com/fact-check/2639,water boils at 100 degrees celsius at sea level,1,47,9,0.0425531914893617,0
The Moon landing was faked,FALSE,Nature,2025-06-24,Multiple sources confirm this claim.,Science,https://example.com/fact-check/3078,the moon landing was faked,0,26,5,0.07692307692307693,0
All GMO foods are dangerous,FALSE,Scientific American,2025-08-27,Multiple sources dispute this claim.,Science,https://example.com/fact-check/1014,all gmo foods are dangerous,0,27,5,0.14814814814814814,0
Vaccines cause autism,FALSE,Scientific American,2025-08-21,Multiple sources confirm this claim.,Environment,https://example.com/fact-check/8955,vaccines cause autism,0,21,3,0.047619047619047616,0
Economic growth may improve next year,UNCLEAR,FactCheck.org,2025-01-15,Multiple sources dispute this claim.,Environment,https://example.com/fact-check/3929,economic growth may improve next year,2,37,6,0.02702702702702703,0
Social media may affect mental health,UNCLEAR,Reuters,2025-05-05,Multiple sources discuss this claim.,Technology,https://example.com/fact-check/9526,social media may affect mental health,2,37,6,0.02702702702702703,0
Coffee might help prevent certain diseases,UNCLEAR,FactCheck.org,2024-10-16,Multiple sources confirm this claim.,Science,https://example.com/fact-check/5757,coffee might help prevent certain diseases,2,42,6,0.023809523809523808,0
Water boils at 100 degrees Celsius at sea level,TRUE,FactCheck.org,2025-03-28,Multiple sources dispute this claim.,Health,https://example.com/fact-check/2160,water boils at 100 degrees celsius at sea level,1,47,9,0.0425531914893617,0
The Moon landing was faked,FALSE,Science Daily,2024-11-14,Multiple sources confirm this claim.,Technology,https://example.com/fact-check/4996,the moon landing was faked,0,26,5,0.07692307692307693,0
Some studies suggest meditation can reduce stress,UNCLEAR,Scientific American,2024-12-10,Multiple sources confirm this claim.,Politics,https://example.com/fact-check/6752,some studies suggest meditation can reduce stress,2,49,7,0.02040816326530612,0
The Earth is flat,FALSE,CDC,2024-11-10,Multiple sources discuss this claim.,Environment,https://example.com/fact-check/7314,the earth is flat,0,17,4,0.11764705882352941,0
The human body has 206 bones,TRUE,Science Daily,2025-03-23,Multiple sources discuss this claim.,Technology,https://example.com/fact-check/5725,the human body has 206 bones,1,28,6,0.03571428571428571,0
The human body has 206 bones,TRUE,Reuters,2025-09-16,Multiple sources confirm this claim.,Environment,https://example.com/fact-check/6801,the human body has 206 bones,1,28,6,0.03571428571428571,0
Climate change is a hoax,FALSE,AP News,2025-03-16,Multiple sources dispute this claim.,Environment,https://example.com/fact-check/9477,climate change is a hoax,0,24,5,0.041666666666666664,0
Mount Everest is the highest peak on Earth,TRUE,FactCheck.org,2024-11-24,Multiple sources confirm this claim.,Politics,https://example.com/fact-check/1242,mount everest is the highest peak on earth,1,42,8,0.07142857142857142,0
Humans need oxygen to breathe,TRUE,AP News,2025-03-24,Multiple sources discuss this claim.,Politics,https://example.com/fact-check/3107,humans need oxygen to breathe,1,29,5,0.034482758620689655,0
Artificial intelligence might replace some jobs,UNCLEAR,FactCheck.org,2025-07-11,Multiple sources discuss this claim.,Health,https://example.com/fact-check/9320,artificial intelligence might replace some jobs,2,47,6,0.02127659574468085,0
Humans only use 10% of their brains,FALSE,AP News,2025-06-13,Multiple sources confirm this claim.,Science,https://example.com/fact-check/1508,humans only use 10 of their brains,0,35,7,0.02857142857142857,0
Some experts predict market volatility,UNCLEAR,FactCheck.org,2024-11-03,Multiple sources discuss this claim.,Environment,https://example.com/fact-check/1146,some experts predict market volatility,2,38,5,0.02631578947368421,0
Vaccines cause autism,FALSE,Science Daily,2025-08-14,Multiple sources discuss this claim.,Environment,https://example.com/fact-check/4353,vaccines cause autism,0,21,3,0.047619047619047616,0
New technology could revolutionize transportation,UNCLEAR,WHO,2025-02-12,Multiple sources confirm this claim.,Technology,https://example.com/fact-check/2003,new technology could revolutionize transportation,2,49,5,0.02040816326530612,0
Humans only use 10% of their brains,FALSE,WHO,2025-07-20,Multiple sources dispute this claim.,Politics,https://example.com/fact-check/4984,humans only use 10 of their brains,0,35,7,0.02857142857142857,0
The Great Wall of China is visible from space,FALSE,CDC,2024-11-08,Multiple sources confirm this claim.,Environment,https://example.com/fact-check/2861,the great wall of china is visible from space,0,45,9,0.08888888888888889,0
Social media may affect mental health,UNCLEAR,WHO,2025-06-10,Multiple sources dispute this claim.,Science,https://example.com/fact-check/6526,social media may affect mental health,2,37,6,0.02702702702702703,0
Humans need oxygen to breathe,TRUE,Science Daily,2025-08-19,Multiple sources confirm this claim.,Environment,https://example.com/fact-check/5162,humans need oxygen to breathe,1,29,5,0.034482758620689655,0
All GMO foods are dangerous,FALSE,Reuters,2025-01-28,Multiple sources discuss this claim.,Politics,https://example.com/fact-check/8837,all gmo foods are dangerous,0,27,5,0.14814814814814814,0
DNA contains genetic information,TRUE,Science Daily,2024-12-14,Multiple sources dispute this claim.,Politics,https://example.com/fact-check/6464,dna contains genetic information,1,32,4,0.09375,0
Certain diets may help with weight loss,UNCLEAR,WHO,2025-03-28,Multiple sources dispute this claim.,Science,https://example.com/fact-check/3737,certain diets may help with weight loss,2,39,7,0.02564102564102564,0
Some experts predict market volatility,UNCLEAR,Nature,2025-06-21,Multiple sources dispute this claim.,Environment,https://example.com/fact-check/7698,some experts predict market volatility,2,38,5,0.02631578947368421,0
Humans need oxygen to breathe,TRUE,WHO,2025-07-31,Multiple sources dispute this claim.,Environment,https://example.com/fact-check/8185,humans need oxygen to breathe,1,29,5,0.034482758620689655,0
Climate change is a hoax,FALSE,AP News,2024-10-03,Multiple sources confirm this claim.,Politics,https://example.com/fact-check/6211,climate change is a hoax,0,24,5,0.041666666666666664,0
Social media may affect mental health,UNCLEAR,Reuters,2024-12-24,Multiple sources dispute this claim.,Science,https://example.com/fact-check/5776,social media may affect mental health,2,37,6,0.02702702702702703,0
The Great Wall of China is visible from space,FALSE,CDC,2025-02-28,Multiple sources discuss this claim.,Environment,https://example.com/fact-check/5537,the great wall of china is visible from space,0,45,9,0.08888888888888889,0
Some studies suggest meditation can reduce stress,UNCLEAR,FactCheck.org,2025-01-20,Multiple sources dispute this claim.,Health,https://example.com/fact-check/2110,some studies suggest meditation can reduce stress,2,49,7,0.02040816326530612,0
Humans need oxygen to breathe,TRUE,Science Daily,2025-08-21,Multiple sources discuss this claim.,Politics,https://example.com/fact-check/3855,humans need oxygen to breathe,1,29,5,0.034482758620689655,0
Artificial intelligence might replace some jobs,UNCLEAR,WHO,2025-06-05,Multiple sources discuss this claim.,Science,https://example.com/fact-check/1787,artificial intelligence might replace some jobs,2,47,6,0.02127659574468085,0
Evolution is just a theory without evidence,FALSE,Nature,2025-02-08,Multiple sources confirm this claim.,Health,https://example.com/fact-check/9586,evolution is just a theory without evidence,0,43,7,0.023255813953488372,0
New technology could revolutionize transportation,UNCLEAR,Science Daily,2025-07-22,Multiple sources confirm this claim.,Health,https://example.com/fact-check/7662,new technology could revolutionize transportation,2,49,5,0.02040816326530612,0
DNA contains genetic information,TRUE,WHO,2025-04-22,Multiple sources dispute this claim.,Health,https://example.com/fact-check/1507,dna contains genetic information,1,32,4,0.09375,0
Humans need oxygen to breathe,TRUE,Science Daily,2025-03-14,Multiple sources dispute this claim.,Politics,https://example.com/fact-check/4576,humans need oxygen to breathe,1,29,5,0.034482758620689655,0
New technology could revolutionize transportation,UNCLEAR,AP News,2025-07-08,Multiple sources dispute this claim.,Technology,https://example.com/fact-check/1291,new technology could revolutionize transportation,2,49,5,0.02040816326530612,0
Humans only use 10% of their brains,FALSE,FactCheck.org,2024-11-07,Multiple sources dispute this claim.,Environment,https://example.com/fact-check/9064,humans only use 10 of their brains,0,35,7,0.02857142857142857,0
The Earth orbits around the Sun,TRUE,CDC,2025-06-18,Multiple sources dispute this claim.,Health,https://example.com/fact-check/7642,the earth orbits around the sun,1,31,6,0.0967741935483871,0
The Great Wall of China is visible from space,FALSE,FactCheck.org,2025-01-11,Multiple sources discuss this claim.,Environment,https://example.com/fact-check/6244,the great wall of china is visible from space,0,45,9,0.08888888888888889,0
The Moon orbits around the Earth,TRUE,CDC,2025-02-15,Multiple sources discuss this claim.,Health,https://example.com/fact-check/4691,the moon orbits around the earth,1,32,6,0.09375,0
Humans need oxygen to breathe,TRUE,Science Daily,2025-05-25,Multiple sources discuss this claim.,Technology,https://example.com/fact-check/4497,humans need oxygen to breathe,1,29,5,0.034482758620689655,0
All GMO foods are dangerous,FALSE,Reuters,2024-10-13,Multiple sources discuss this claim.,Politics,https://example.com/fact-check/9692,all gmo foods are dangerous,0,27,5,0.14814814814814814,0
Alternative energy sources might become dominant,UNCLEAR,Scientific American,2024-12-10,Multiple sources discuss this claim.,Health,https://example.com/fact-check/6211,alternative energy sources might become dominant,2,48,6,0.020833333333333332,0
Coffee might help prevent certain diseases,UNCLEAR,FactCheck.org,2025-07-22,Multiple sources confirm this claim.,Science,https://example.com/fact-check/8663,coffee might help prevent certain diseases,2,42,6,0.023809523809523808,0
The Earth orbits around the Sun,TRUE,Reuters,2024-12-18,Multiple sources confirm this claim.,Environment,https://example.com/fact-check/8143,the earth orbits around the sun,1,31,6,0.0967741935483871,0
Diamonds are made of carbon,TRUE,AP News,2025-02-07,Multiple sources discuss this claim.,Health,https://example.com/fact-check/6910,diamonds are made of carbon,1,27,5,0.037037037037037035,0
New technology could revolutionize transportation,UNCLEAR,Nature,2025-05-21,Multiple sources dispute this claim.,Science,https://example.com/fact-check/8941,new technology could revolutionize transportation,2,49,5,0.02040816326530612,0
Some experts predict market volatility,UNCLEAR,AP News,2024-11-30,Multiple sources confirm this claim.,Technology,https://example.com/fact-check/5019,some experts predict market volatility,2,38,5,0.02631578947368421,0
Alternative energy sources might become dominant,UNCLEAR,Scientific American,2024-12-19,Multiple sources dispute this claim.,Health,https://example.com/fact-check/2899,alternative energy sources might become dominant,2,48,6,0.020833333333333332,0
The Moon orbits around the Earth,TRUE,Nature,2025-02-25,Multiple sources discuss this claim.,Environment,https://example.com/fact-check/1244,the moon orbits around the earth,1,32,6,0.09375,0
Humans need oxygen to breathe,TRUE,AP News,2025-04-04,Multiple sources discuss this claim.,Science,https://example.com/fact-check/5697,humans need oxygen to breathe,1,29,5,0.034482758620689655,0
The Moon landing was faked,FALSE,WHO,2025-09-07,Multiple sources confirm this claim.,Environment,https://example.com/fact-check/4793,the moon landing was faked,0,26,5,0.07692307692307693,0
Evolution is just a theory without evidence,FALSE,WHO,2025-01-02,Multiple sources dispute this claim.,Technology,https://example.com/fact-check/5990,evolution is just a theory without evidence,0,43,7,0.023255813953488372,0
Remote work could increase productivity,UNCLEAR,CDC,2025-04-27,Multiple sources discuss this claim.,Health,https://example.com/fact-check/8141,remote work could increase productivity,2,39,5,0.02564102564102564,0
